PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,OBESITY_CrudePrev,DIABETES_CrudePrev,CHD_CrudePrev,KIDNEY_CrudePrev,PHLTH_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Health_Score,CountyFIPS,index,FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,Access_Score,Overall_Score
McKinney,4845744,48085030900,4845744-48085030900,8420,0.39107142857142857,0.28087167070217917,0.5076923076923077,0.6183673469387754,0.38242894056847543,0.22253521126760564,0.3017241379310345,0.4602649006622516,0.22395833333333331,0.44280442804428044,0.4122747369833219,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.46379689932445767
McKinney,4845744,48085030802,4845744-48085030802,5635,0.325,0.3438256658595641,0.41846153846153844,0.5795918367346938,0.28682170542635654,0.15492957746478875,0.20689655172413793,0.3973509933774834,0.15104166666666669,0.3191881918819188,0.34197142894706056,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.43567557610995317
Richmond,5167000,51760030100,5167000-51760030100,2895,0.4607142857142857,0.20338983050847453,0.6553846153846153,0.8428571428571426,0.5633074935400517,0.2619718309859155,0.43965517241379304,0.6821192052980131,0.390625,0.7896678966789669,0.5684712127704197,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.43493699856350737
Richmond,5167000,51760020200,5167000-51760020200,3811,0.46249999999999997,0.20581113801452783,0.6569230769230769,0.8346938775510203,0.5503875968992249,0.24788732394366197,0.43103448275862066,0.6589403973509933,0.3854166666666667,0.7583025830258303,0.5598121414954225,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4314733700535085
Richmond,5167000,51760020100,5167000-51760020100,1669,0.46428571428571425,0.20338983050847453,0.6476923076923077,0.8326530612244897,0.545219638242894,0.24225352112676057,0.43965517241379304,0.6854304635761589,0.3854166666666667,0.7859778597785978,0.5585661799295034,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.43097498542714086
Richmond,5167000,51760020700,5167000-51760020700,1155,0.5035714285714286,0.25665859564164645,0.696923076923077,0.7551020408163265,0.5813953488372093,0.28450704225352114,0.4224137931034482,0.5827814569536423,0.3802083333333333,0.5018450184501846,0.5565117525426713,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.430153214472408
McKinney,4845744,48085030702,4845744-48085030702,4867,0.3553571428571428,0.3510895883777239,0.4261538461538461,0.5224489795918367,0.27390180878552967,0.16619718309859158,0.20689655172413793,0.3410596026490066,0.15104166666666669,0.2878228782287823,0.32736296716042296,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.42983219139529816
Richmond,5167000,51760010300,5167000-51760010300,1266,0.5160714285714286,0.22276029055690066,0.6984615384615386,0.7530612244897958,0.5762273901808785,0.25915492957746483,0.4224137931034482,0.5496688741721854,0.3697916666666667,0.507380073800738,0.5489676134541555,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.42713555883700166
Richmond,5167000,51760020300,5167000-51760020300,1630,0.5053571428571428,0.24697336561743338,0.7,0.7224489795918366,0.5607235142118863,0.2619718309859155,0.4051724137931034,0.5331125827814569,0.3645833333333333,0.5701107011070111,0.5378945792478905,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4227063451544957
Richmond,5167000,51760010800,5167000-51760010800,4016,0.49999999999999994,0.24939467312348662,0.6876923076923077,0.7040816326530611,0.5400516795865633,0.24507042253521127,0.38793103448275856,0.49999999999999994,0.3385416666666667,0.4760147601476016,0.5191025061426451,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4151895159123975
Richmond,5167000,51760020400,5167000-51760020400,5115,0.39464285714285713,0.29297820823244547,0.6184615384615385,0.7999999999999998,0.4857881136950904,0.22535211267605637,0.3620689655172414,0.5993377483443707,0.328125,0.8007380073800738,0.5167946199755074,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4142663614455424
McKinney,4845744,48085030701,4845744-48085030701,3371,0.29107142857142854,0.38740920096852294,0.3676923076923077,0.46734693877551015,0.22222222222222224,0.14084507042253522,0.18103448275862066,0.2814569536423841,0.12500000000000003,0.2952029520295203,0.2847094185952033,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.41277077196921025
Richmond,5167000,51760010900,5167000-51760010900,2957,0.4660714285714285,0.27118644067796605,0.6584615384615385,0.720408163265306,0.5116279069767442,0.22253521126760564,0.3534482758620689,0.4867549668874172,0.3125,0.47047970479704804,0.502567620470334,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4085755616434731
Richmond,5167000,51760020900,5167000-51760020900,2619,0.47142857142857136,0.2760290556900726,0.6538461538461539,0.6897959183673468,0.5038759689922481,0.22535211267605637,0.3534482758620689,0.47682119205298007,0.3125,0.45202952029520305,0.49371622631404244,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.4050350039809565
McKinney,4845744,48085030601,4845744-48085030601,8448,0.3410714285714285,0.39225181598062947,0.38923076923076927,0.4061224489795918,0.20155038759689922,0.123943661971831,0.14655172413793102,0.2019867549668874,0.09895833333333334,0.06457564575645756,0.25821950277396416,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.4021748056407146
McKinney,4845744,48085030605,4845744-48085030605,6293,0.25535714285714284,0.4309927360774818,0.3323076923076923,0.4816326530612245,0.18604651162790697,0.09295774647887324,0.12931034482758622,0.23509933774834435,0.08854166666666667,0.13468634686346864,0.25744313748564884,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.40186425952538846
Richmond,5167000,51760010700,5167000-51760010700,2338,0.4696428571428571,0.27360774818401934,0.6492307692307693,0.6693877551020407,0.4909560723514212,0.21690140845070424,0.3448275862068965,0.4503311258278145,0.296875,0.40590405904059046,0.4808368479106535,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.3998832526196009
McKinney,4845744,48085030801,4845744-48085030801,3923,0.25357142857142856,0.4430992736077482,0.3230769230769231,0.4571428571428571,0.18087855297157623,0.09295774647887324,0.12068965517241381,0.2185430463576159,0.08854166666666667,0.15498154981549814,0.24883018896324022,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.398419080116425
McKinney,4845744,48085030603,4845744-48085030603,6996,0.2875,0.4164648910411622,0.34615384615384615,0.4224489795918367,0.18604651162790697,0.10704225352112676,0.12931034482758622,0.20860927152317876,0.09375000000000001,0.13284132841328414,0.24822723308523054,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.39817789776522117
McKinney,4845744,48085030530,4845744-48085030530,6025,0.33749999999999997,0.40435835351089583,0.37230769230769234,0.3877551020408163,0.18604651162790697,0.11830985915492957,0.1379310344827586,0.1887417218543046,0.09895833333333334,0.07380073800738007,0.24654898580495418,48457,2751,48457,TX,Tyler,11685.6501563533,11662.3577680909,-0.19932470980004724,53.6876328050781,53.580620086790866,5058.94995341429,4104.35165102441,-18.869494878984135,23.24244212723647,18.85671070028673,346.187648698091,328.450427746077,-5.123585725463743,4.323562491546035,4.102041060897677,635.744928444461,7.939864224359448,2209.44050879482,2204.38415089308,-0.22885241225607442,10.150879852957916,10.127649319549205,1852.29835922827,1849.27859989663,-0.16302769565147823,8.51005402567431,8.496180280697557,9728.01035734897,44.693606346361165,930.447310948289,4.2747740096861575,980.031023810835,4.502577523710535,12.3831922057507,0.056892365183086914,61.8616886795155,0.28421248129888593,0.0,0.0,929.655179851693,4.271134704822627,0.49814500755188157,0.3975065988531106
Richmond,5167000,51760060200,5167000-51760060200,2078,0.4392857142857142,0.29297820823244547,0.6307692307692307,0.6938775510204082,0.4728682170542636,0.2056338028169014,0.3189655172413793,0.4602649006622516,0.28125,0.45018450184501846,0.4745878137554351,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.3973836389575135
Richmond,5167000,51760060400,5167000-51760060400,5148,0.4482142857142857,0.28087167070217917,0.6092307692307692,0.6693877551020407,0.4677002583979327,0.21971830985915494,0.3448275862068965,0.4834437086092715,0.296875,0.4464944649446495,0.4712281032333948,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.3960397547486974
Richmond,5167000,51760060700,5167000-51760060700,5010,0.41071428571428564,0.2760290556900726,0.5861538461538461,0.7285714285714284,0.4470284237726098,0.1943661971830986,0.3189655172413793,0.5033112582781456,0.2760416666666667,0.5387453874538746,0.46861943808663087,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.3949962886899918
Richmond,5167000,51760060800,5167000-51760060800,3585,0.3982142857142857,0.30024213075060524,0.556923076923077,0.720408163265306,0.44186046511627897,0.2056338028169014,0.3189655172413793,0.5430463576158939,0.27083333333333337,0.566420664206642,0.4650023046102582,51670,2932,51670,VA,Hopewell,6541.19696373516,8232.64107808428,25.858327210243026,28.95488010152344,36.44212774150892,2656.49749310163,2913.32652137286,9.667956733938636,11.759096512335134,12.89596087544978,283.50326265468,296.622821962177,4.627657256797513,3.10552374471114,3.2492367396448354,594.518235067282,6.512413572869778,1501.1633364679,1851.42193840181,23.33247778073479,6.644961871842327,8.195396124128235,1046.98368659636,1370.59067820194,30.908503709125977,4.634516783658802,6.066976575636049,5495.13810312328,24.32445709850507,2121.63528515059,9.391506729009738,540.155224380549,2.3910195404388874,80.1793912814974,0.3549174064074074,37.815969408286,0.1673939595780886,8.56740245953551,0.03792396290352578,489.304924769967,2.1659285767339513,0.3459141890922325,0.39354943529944275
